0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
8027.0,8.990690709916228,1997.0,4.0,7.0,13.0,50.0,14.0,19.0,859.0,-0.2588190451025208,-0.9659258262890684,2.0,97.0,0.6931471805599453
8040.0,8.99230873254815,1997.0,5.0,21.0,20.0,3.0,20.0,27.0,1227.0,-0.8660254037844386,0.5000000000000001,2.0,141.0,0.6931471805599453
8100.0,8.182279739259018,1997.0,11.0,3.0,10.0,18.0,10.0,34.0,634.0,0.4999999999999999,-0.8660254037844387,4.0,307.0,3.4339872044851463
8100.0,8.999742789830492,1997.0,11.0,3.0,9.0,3.0,9.0,13.0,553.0,0.7071067811865476,-0.7071067811865475,4.0,307.0,2.6390573296152584
8100.0,8.999742789830492,1997.0,11.0,3.0,19.0,55.0,20.0,36.0,1236.0,-0.9659258262890684,0.2588190451025203,4.0,307.0,2.6390573296152584
8100.0,8.999742789830492,1997.0,11.0,3.0,4.0,32.0,4.0,49.0,289.0,0.8660254037844386,0.5000000000000001,4.0,307.0,2.6390573296152584
8100.0,8.999742789830492,1997.0,11.0,3.0,22.0,16.0,22.0,32.0,1352.0,-0.5000000000000004,0.8660254037844384,4.0,307.0,2.6390573296152584
8100.0,8.182279739259018,1997.0,11.0,3.0,22.0,58.0,23.0,7.0,1387.0,-0.5000000000000004,0.8660254037844384,4.0,307.0,3.4339872044851463
8100.0,8.182279739259018,1997.0,11.0,3.0,10.0,18.0,10.0,34.0,634.0,0.4999999999999999,-0.8660254037844387,4.0,307.0,3.4339872044851463
8100.0,8.999742789830492,1997.0,11.0,3.0,9.0,3.0,9.0,13.0,553.0,0.7071067811865476,-0.7071067811865475,4.0,307.0,2.6390573296152584
8100.0,8.999742789830492,1997.0,11.0,3.0,19.0,55.0,20.0,36.0,1236.0,-0.9659258262890684,0.2588190451025203,4.0,307.0,2.6390573296152584
8100.0,8.999742789830492,1997.0,11.0,3.0,4.0,32.0,4.0,49.0,289.0,0.8660254037844386,0.5000000000000001,4.0,307.0,2.6390573296152584
8100.0,8.999742789830492,1997.0,11.0,3.0,22.0,16.0,22.0,32.0,1352.0,-0.5000000000000004,0.8660254037844384,4.0,307.0,2.6390573296152584
8100.0,8.182279739259018,1997.0,11.0,3.0,22.0,58.0,23.0,7.0,1387.0,-0.5000000000000004,0.8660254037844384,4.0,307.0,3.4339872044851463
8100.0,8.999742789830492,1997.0,11.0,4.0,5.0,52.0,6.0,2.0,362.0,0.9659258262890684,0.2588190451025207,4.0,308.0,2.6390573296152584
8100.0,8.999742789830492,1997.0,11.0,4.0,2.0,32.0,3.0,3.0,183.0,0.4999999999999999,0.8660254037844387,4.0,308.0,2.6390573296152584
8100.0,8.999742789830492,1997.0,11.0,4.0,1.0,27.0,1.0,40.0,100.0,0.2588190451025207,0.9659258262890684,4.0,308.0,2.6390573296152584
8100.0,8.182279739259018,1997.0,11.0,4.0,6.0,27.0,6.0,32.0,392.0,1.0,6.123233995736766e-17,4.0,308.0,3.4339872044851463
8100.0,8.182279739259018,1997.0,11.0,4.0,4.0,12.0,4.0,19.0,259.0,0.8660254037844386,0.5000000000000001,4.0,308.0,3.4339872044851463
8100.0,8.182279739259018,1997.0,11.0,4.0,6.0,37.0,6.0,44.0,404.0,1.0,6.123233995736766e-17,4.0,308.0,3.4339872044851463
8100.0,8.999742789830492,1997.0,11.0,4.0,21.0,6.0,21.0,26.0,1286.0,-0.7071067811865477,0.7071067811865474,4.0,308.0,2.6390573296152584
