speed,Class,Region,Year,Month,Day,start_hour,start_minute,end_hour,end_minute
8027,C,8027,1997,4,7,13,50,14,19
8040,M,8040,1997,5,21,20,3,20,27
8100,M,3576,1997,11,3,10,18,10,34
8100,M,8100,1997,11,3,9,3,9,13
8100,M,8100,1997,11,3,19,55,20,36
8100,M,8100,1997,11,3,4,32,4,49
8100,M,8100,1997,11,3,22,16,22,32
8100,M,3576,1997,11,3,22,58,23,7
8100,M,3576,1997,11,3,10,18,10,34
8100,M,8100,1997,11,3,9,3,9,13
8100,M,8100,1997,11,3,19,55,20,36
8100,M,8100,1997,11,3,4,32,4,49
8100,M,8100,1997,11,3,22,16,22,32
8100,M,3576,1997,11,3,22,58,23,7
8100,X,8100,1997,11,4,5,52,6,2
8100,M,8100,1997,11,4,2,32,3,3
8100,M,8100,1997,11,4,1,27,1,40
8100,M,3576,1997,11,4,6,27,6,32
8100,M,3576,1997,11,4,4,12,4,19
8100,C,3576,1997,11,4,6,37,6,44
8100,C,8100,1997,11,4,21,6,21,26
8100,C,3576,1997,11,4,3,55,4,6
8100,X,8100,1997,11,6,11,49,12,1
8113,X,8113,1997,11,27,12,59,13,20
8210,X,8210,1998,4,23,5,35,6,23
8210,X,8210,1998,4,27,8,55,9,38
8210,M,8210,1998,4,29,16,6,16,59
8210,X,8210,1998,5,2,13,31,13,51
8210,X,8210,1998,5,6,7,58,8,20
8210,M,8210,1998,5,6,7,10,7,41
8210,X,8210,1998,5,9,3,4,3,55
8307,X,8307,1998,8,18,22,10,22,28
8307,X,8307,1998,8,18,8,14,8,32
8307,X,8307,1998,8,24,21,50,22,35
8340,M,8340,1998,9,23,6,40,7,31
8040,M,8340,1998,9,30,13,8,14,48
8375,X,8375,1998,11,5,19,0,20,12
8375,M,8375,1998,11,5,18,22,18,27
8040,M,3576,1998,11,7,11,2,11,9
8040,M,8375,1998,11,8,17,4,17,22
8415,X,8415,1998,12,18,17,13,17,27
8040,M,3576,1999,1,20,19,6,21,0
8525,M,3576,1999,5,3,5,36,6,32
8552,M,8552,1999,6,4,6,52,7,11
8603,M,8611,1999,6,29,8,13,8,27
8674,X,8681,1999,8,28,17,52,18,18
8731,X,8731,1999,10,14,8,54,9,3
8766,M,8766,1999,11,16,2,36,2,54
8766,M,8760,1999,11,16,4,5,4,13
8759,M,8766,1999,11,16,2,36,2,54
8759,M,8760,1999,11,16,4,5,4,13
8831,M,8831,2000,1,18,17,7,17,44
8858,X,8858,2000,2,5,19,17,19,31
8882,X,8882,2000,3,2,8,20,8,31
8882,M,8882,2000,3,2,13,35,13,48
8970,M,8970,2000,5,4,10,57,11,14
8993,M,9002,2000,5,15,8,16,9,28
9026,X,9026,2000,6,2,18,48,19,50
9026,M,9026,2000,6,2,6,52,7,6
9026,X,9026,2000,6,6,14,58,15,40
9026,X,9026,2000,6,6,13,30,13,46
9026,X,9026,2000,6,6,13,56,14,11
9026,M,9026,2000,6,10,16,40,17,19
9077,M,9077,2000,7,10,21,5,22,27
9077,X,9077,2000,7,11,12,12,13,35
9077,M,9077,2000,7,11,11,32,11,52
9070,X,9077,2000,7,12,10,18,10,46
9070,M,9070,2000,7,12,18,41,19,7
9077,X,9077,2000,7,14,10,3,10,43
9077,M,9077,2000,7,14,13,44,14,0
9085,M,9085,2000,7,22,11,17,12,2
9165,M,9165,2000,9,16,4,6,4,48
9165,M,9165,2000,9,19,8,6,8,42
9213,X,9213,2000,11,8,22,42,0,5
9236,X,9236,2000,11,24,14,51,15,21
9236,X,9236,2000,11,24,4,55,5,8
9236,X,9236,2000,11,24,21,43,22,12
9236,X,9236,2000,11,24,14,51,15,21
9236,X,9236,2000,11,24,4,55,5,8
9236,X,9236,2000,11,24,21,43,22,12
9236,X,9236,2000,11,24,14,51,15,21
9236,X,9236,2000,11,24,4,55,5,8
9236,X,9236,2000,11,24,21,43,22,12
9240,X,9236,2000,11,25,18,33,18,55
9240,X,9240,2000,11,25,0,59,2,1
9236,X,9236,2000,11,25,18,33,18,55
9236,X,9240,2000,11,25,0,59,2,1
9236,X,9236,2000,11,25,18,33,18,55
9236,X,9240,2000,11,25,0,59,2,1
9236,X,9236,2000,11,26,16,34,16,56
9313,X,9313,2001,1,20,21,6,21,32
9313,X,9313,2001,1,20,21,6,21,32
9368,M,9368,2001,3,10,4,0,4,7
9393,X,9393,2001,3,29,9,57,10,32
9393,X,9393,2001,4,2,21,32,22,3
9393,X,9393,2001,4,2,10,4,10,20
9393,X,9393,2001,4,2,10,58,12,5
9393,X,9393,2001,4,2,21,32,22,3
9393,X,9393,2001,4,2,10,4,10,20
9393,X,9393,2001,4,2,10,58,12,5
9415,X,9415,2001,4,3,3,25,4,55
9393,X,9417,2001,4,5,8,37,9,54
9415,X,9415,2001,4,6,19,10,19,31
9415,X,9415,2001,4,9,15,20,16,0
9415,X,9415,2001,4,10,5,6,5,42
9415,X,9415,2001,4,12,9,39,10,49
9415,X,9415,2001,4,15,13,19,13,55
9433,X,9433,2001,4,26,11,26,13,19
9502,M,9502,2001,6,15,10,1,10,20
8040,M,9502,2001,6,15,10,1,10,20
9591,X,9591,2001,8,25,16,23,17,4
9616,M,9608,2001,9,16,3,39,4,18
9616,X,9608,2001,9,17,15,44,15,54
9632,X,9632,2001,9,24,9,32,11,9
9628,X,9628,2001,10,1,4,41,5,23
9661,X,9661,2001,10,19,0,47,1,13
9661,X,9661,2001,10,19,16,13,16,43
9661,M,9658,2001,10,19,9,35,9,55
9661,X,9661,2001,10,19,0,47,1,13
9661,X,9661,2001,10,19,16,13,16,43
9661,M,9658,2001,10,19,9,35,9,55
9672,X,9672,2001,10,22,17,44,18,14
9672,M,9672,2001,10,22,14,27,15,31
9672,X,9672,2001,10,25,14,42,15,28
9684,X,9684,2001,11,4,16,3,16,57
9698,X,9704,2001,11,22,22,32,0,6
9704,X,9704,2001,11,22,22,32,0,6
9727,X,9733,2001,12,11,7,58,8,14
9742,X,9742,2001,12,26,4,32,6,47
9756,X,9767,2001,12,28,20,2,21,32
9742,X,9748,2001,12,29,9,38,10,6
9772,M,3576,2002,1,14,5,29,8,25
9825,M,3576,2002,2,21,11,56,12,36
9871,M,9871,2002,3,17,19,24,19,34
9893,X,9893,2002,4,10,12,23,12,40
9906,M,9893,2002,4,15,23,34,0,25
9906,X,9906,2002,4,21,0,43,2,38
10030,X,0030,2002,7,15,19,59,20,14
10030,X,0030,2002,7,17,6,58,7,19
10030,X,0030,2002,7,18,7,24,7,49
10036,X,0030,2002,7,18,7,24,7,49
10039,X,0039,2002,7,20,21,4,21,54
10039,X,0039,2002,7,23,0,18,0,47
10039,X,0044,2002,7,26,20,51,21,29
10039,M,3576,2002,7,26,22,3,22,32
10039,M,0044,2002,7,26,0,4,0,16
10039,M,0044,2002,7,26,22,36,22,41
8040,M,3576,2002,7,29,2,29,2,46
8040,M,3576,2002,7,29,10,27,11,13
10039,X,0039,2002,8,3,18,59,19,11
10061,M,0069,2002,8,16,11,32,13,7
10069,M,0069,2002,8,16,11,32,13,7
10069,M,0069,2002,8,22,1,47,2,5
10069,X,0069,2002,8,24,0,49,1,31
10180,M,0180,2002,11,9,13,8,13,36
10314,X,314,2003,3,18,11,51,12,20
8040,X,314,2003,3,18,11,51,12,20
