date,start_time,end_date,speed
1997/01/20,08:56,01/20,-----
1997/04/01,14:00,04/01,8026
1997/04/07,14:30,04/07,8027
1997/05/12,05:15,05/14,8038
1997/05/21,20:20,05/21,8040
1997/09/23,21:53,09/23,8088
1997/11/03,05:15,11/03,8100
1997/11/03,10:30,11/03,8100
1997/11/04,06:00,11/05,8100
1997/11/06,12:20,11/07,8100
1997/11/27,13:30,11/27,8113
1997/12/12,22:45,12/12,8116
1998/01/25,15:03,01/25,8141
1998/03/29,03:40,03/29,DIM
1998/04/20,10:25,04/22,8194
1998/04/23,06:00,04/23,8210
1998/04/24,09:17,04/24,8210
1998/04/27,09:20,04/27,8210
1998/04/29,16:30,04/29,8210
1998/05/02,14:25,05/02,8210
1998/05/06,08:23,05/06,8210
1998/05/09,03:35,05/09,8210
1998/05/11,21:40,05/11,8214
1998/05/19,10:00,05/19,8222
1998/05/27,13:30,05/27,8226
1998/06/11,10:15,06/11,8243
1998/06/16,18:20,06/17,8232
1998/06/20,19:39,06/20,-----
1998/06/22,07:15,06/22,8243
1998/07/08,01:30,07/08,-----
1998/08/18,23:00,08/18,8307
1998/08/24,22:05,08/26,8307
1998/08/31,15:37,08/31,8307
1998/09/20,04:00,09/20,-----
1998/09/20,08:50,09/20,-----
1998/09/23,07:20,09/24,8340
1998/09/30,13:20,10/02,-----
1998/11/02,14:00,11/02,8373
1998/11/05,22:00,11/07,8375
1998/11/06,03:00,11/06,DIM
1998/11/07,00:20,11/07,-----
1998/11/08,11:20,11/08,DIM
1998/12/18,17:50,12/18,8415
1999/01/11,22:03,01/11,-----
1999/01/20,19:18,01/20,-----
1999/04/24,13:50,04/25,DIM
1999/05/03,05:50,05/03,8525
1999/05/27,10:55,05/28,DIM
1999/06/01,18:50,06/02,8551
1999/06/04,07:05,06/05,8552
1999/06/11,11:45,06/11,8585
1999/06/22,18:25,06/22,8592
1999/06/23,05:50,06/23,DIM
1999/06/23,07:07,06/23,8596
1999/06/28,21:03,06/28,8592
1999/06/29,19:20,06/29,8603
1999/07/05,03:10,07/05,8603
1999/08/28,18:25,08/28,8674
1999/09/03,03:00,09/03,8679
1999/09/10,07:30,09/10,DIM
1999/10/14,09:10,10/14,8731
1999/10/17,23:27,10/17,DIM
1999/11/16,03:27,11/16,8766
1999/11/16,05:17,11/16,8759
2000/01/18,17:31,01/18,8831
2000/01/28,20:20,01/28,8841
2000/02/05,19:34,02/05,8858
2000/02/08,09:05,02/11,8858
2000/02/10,01:55,02/10,8858
2000/02/12,03:55,02/12,8858
2000/02/17,20:42,02/18,8872
2000/02/18,09:38,02/18,DIM
2000/03/02,13:50,03/02,8882
2000/03/07,16:24,03/07,8906
2000/03/27,06:56,03/27,8932
2000/04/04,15:45,04/04,8933
2000/04/09,23:15,04/09,8948
2000/04/18,15:00,04/18,EP
2000/05/04,11:10,05/04,8970
2000/05/05,16:35,05/05,8970
2000/05/07,21:15,05/07,DIM
2000/05/12,23:34,05/12,DIM
2000/05/15,16:47,05/16,8993
2000/06/02,22:00,06/02,9026
2000/06/06,15:20,06/08,9026
2000/06/10,17:15,06/10,9026
2000/06/15,19:52,06/15,9041
2000/06/17,03:00,06/17,9041
2000/06/23,14:40,06/23,9042
2000/06/25,08:10,06/25,9046
2000/07/10,22:00,07/10,9077
2000/07/11,13:00,07/11,9077
2000/07/12,20:05,07/12,9070
2000/07/14,10:30,07/15,9077
2000/07/22,11:45,07/22,9085
2000/08/11,11:35,08/11,DIM
2000/09/12,12:00,09/13,EP
2000/09/12,18:15,09/12,DIM
2000/09/16,04:30,09/16,9165
2000/09/19,08:45,09/19,9165
2000/09/25,02:20,09/25,9169
2000/10/16,07:10,10/16,9182
2000/10/25,09:30,10/25,9199
2000/11/03,18:35,11/03,9213
2000/11/08,23:20,11/09,9213
2000/11/09,16:15,11/11,9221
2000/11/12,14:25,11/12,9227
2000/11/23,08:16,11/23,9238
2000/11/23,21:00,11/23,9239
2000/11/24,05:10,11/24,9236
2000/11/24,15:25,11/24,9236
2000/11/24,22:24,11/24,9236
2000/11/25,01:25,11/25,9240
2000/11/25,19:00,11/25,9236
2000/11/25,19:55,11/25,9236
2000/11/26,17:00,11/26,9236
2000/12/28,12:40,12/28,-----
2001/01/20,19:12,01/20,9313
2001/01/20,21:30,01/20,9313
2001/01/26,12:06,01/26,9320
2001/01/28,15:45,01/28,9313
2001/02/11,01:40,02/11,9346
